time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1901	-4.68	-8.74	-2.62	3.4	7.48	11.32	12.9	11.81	9.55	4.54	-1.43	-2.81	-4.68	2.76	12.01	4.22	-1.72	9.41	3.39
1902	-2.51	-3.1	-0.37	5.12	3.08	9.47	13.08	11.47	9.08	4.02	-0.09	-3.34	-2.8	2.61	11.34	4.34	-0.94	8.55	3.83
1903	-3.53	-0.81	0.53	-0.51	7.1	9.44	11.34	12.17	9.37	5.5	0.07	-3.92	-2.56	2.37	10.98	4.98	-0.54	8.15	3.9
1904	-4.23	-3.13	-0.58	4.64	8.55	11.73	15.11	13.17	7.35	4.94	-0.64	-2.01	-3.76	4.2	13.34	3.88	-1.05	10.09	4.58
1905	-6.27	-4	0.11	2.9	5.95	11.17	15.05	12.12	9.42	-0.3	-0.91	-2.43	-4.09	2.99	12.78	2.74	-1.31	9.44	3.57
1906	-3.59	-5.07	-1.59	2.25	7.34	10.05	12.92	13.38	8.69	7.06	1.65	-6.42	-3.7	2.67	12.12	5.8	-2.31	9.1	3.89
1907	-4.64	-5.93	-2.05	1.23	7.75	10.45	10.67	12.96	10.27	6.1	1.54	-1.45	-5.66	2.31	11.36	5.97	-1.72	8.89	3.91
1908	-4.23	-3.64	-2.44	0.65	9.04	12.34	12.11	10.81	8.52	5.87	-0.39	-3.43	-3.11	2.42	11.75	4.67	-0.69	8.91	3.77
1909	-5.37	-6.44	-3.04	4.49	6.74	8.67	10.36	11.78	8.17	6.07	-1.6	-1.45	-5.08	2.73	10.27	4.21	-2.13	8.37	3.2
1910	-3.23	-2.92	-0.58	2.06	5.61	10.72	10.37	11.4	7.03	5.87	-1.45	-0.86	-2.53	2.36	10.83	3.81	-0.62	7.86	3.67
1911	-5.49	-3.07	-0.65	2	7.32	10.13	15.23	15.23	11.2	5.08	1.79	-0.86	-3.14	2.89	13.53	6.02	-0.94	10.18	4.83
1912	-2.26	0.09	1.47	1.79	8.02	10.49	11.95	9.03	4.35	3.7	-2.54	-1.11	-1.01	3.76	10.49	1.83	0.89	7.61	3.75
1913	-2.1	-3.16	1.73	2.48	6.92	10.12	9.52	11.15	8.5	6.57	2.67	-2.83	-2.12	3.71	10.26	5.91	-0.58	8.12	4.3
1914	-6.52	-0.48	-0.02	5.16	5.69	9.15	10.87	12.21	8.51	4.34	-0.69	-1.13	-3.28	3.61	10.74	4.05	-0.1	8.6	3.92
1915	-4.71	-3.81	-1.52	1.74	9.53	12.36	11.8	10.88	7.67	2.48	-2.18	0.77	-3.22	3.25	11.68	2.65	-1.25	9	3.75
1916	-0.95	-2.63	-0.06	3.07	8.02	8.31	11.54	11.65	7.22	4.74	0.34	-1.93	-0.94	3.68	10.5	4.1	-0.43	8.3	4.11
1917	-6.12	-5.2	-2.83	-0.46	9.95	12.62	12.47	11.39	11.47	2.52	-0.17	-6.28	-4.42	2.22	12.16	4.61	-1.83	9.57	3.28
1918	-2.79	-2.3	-0.58	3.07	8.64	8.37	12.4	11.9	9.78	3.37	0.27	-0.36	-3.79	3.71	10.89	4.47	-1.6	9.02	4.31
1919	-4.07	-4.04	-0.88	0.35	6.74	10.87	9.4	13.89	11.06	1.24	-2.17	-2.29	-2.82	2.07	11.39	3.37	-0.95	8.72	3.34
1920	-1.03	-0.67	1.91	3.61	10.08	10.35	12.53	10.53	9.36	5.49	0.79	-2.37	-1.33	5.2	11.13	5.22	-0.5	9.41	5.05
1921	-0.47	-3.03	1.07	2.03	8.72	10.99	15.05	12.54	11.25	8.09	-1.48	-2.14	-1.96	3.94	12.86	5.95	0.25	10.1	5.22
1922	-4.76	-2.71	0.5	1.17	9.46	11.18	11.27	12.2	6.96	3.37	-1.58	-2.97	-3.21	3.71	11.55	2.92	-0.42	8.71	3.68
1923	-4.47	-1.22	0.09	3.11	7.33	7.28	15.06	13.6	8.86	6.88	0.03	-3.85	-2.89	3.51	11.98	5.25	-1.13	9.21	4.39
1924	-4.43	-5.62	-0.51	3.24	8.72	10.65	12.68	9.29	9.46	5.37	1.53	-1.75	-4.63	3.81	10.87	5.45	-1.25	9.01	4.05
1925	-1.24	-1.68	-3.32	2.98	7.62	11.55	12.06	11.77	6.84	5.86	-0.89	-3.31	-1.56	2.42	11.79	3.94	-0.18	8.8	4.02
1926	-3.65	1.28	0.4	4.38	5.64	8.17	11.81	12.71	11.58	5.59	2.61	-3.82	-1.9	3.47	10.9	6.6	-0.05	9.05	4.73
1927	-3.33	-3.12	0.11	3.51	8.38	10.72	12.7	11.74	9.35	5.38	1.33	-2.79	-3.42	4	11.72	5.35	-0.33	9.4	4.5
1928	-2.29	-1.46	0.37	3.27	5.26	11.05	16.11	14.09	9.48	4.89	1.33	-3.99	-2.18	2.97	13.75	5.23	0.09	9.88	4.84
1929	-7.39	-8.42	0.21	0.94	7.92	11.65	13.93	12.63	12.36	5.6	0.77	-1.01	-6.6	3.02	12.74	6.24	-2.23	9.91	4.1
1930	-0.82	-3.93	0.81	3.69	6.19	13.52	11.64	12.34	10.03	4.94	2.6	-2.26	-1.92	3.56	12.5	5.86	0.24	9.57	4.9
1931	-4.43	-5.27	-1.9	2.08	9.41	13.43	12.21	10.71	5.26	4.6	2.16	-3.98	-3.99	3.2	12.12	4.01	-1.05	8.85	3.69
1932	-1.76	-6.86	-2.08	1.24	6.45	9.7	12.02	15.08	12.35	4.53	1.47	-1.04	-4.2	1.87	12.27	6.12	-1.32	9.47	4.26
1933	-5.75	-3.4	0.61	3.96	5.96	8.26	13.81	13.89	10.18	5.27	-0.98	-5.98	-3.4	3.51	11.98	4.82	-0.6	9.34	3.82
1934	-3.69	-2.75	-0.4	5.55	9.53	11.02	14.09	11.43	11	4.99	0.04	0.58	-4.14	4.89	12.18	5.34	-1.42	10.44	5.12
1935	-6.2	-2.63	-1.64	2.05	5.67	12.89	13.98	11.74	10.23	4.76	1.3	-4.02	-2.75	2.03	12.87	5.43	-0.81	9.43	4.01
1936	-0.3	-2.86	1.2	2.59	7.89	10.3	11.77	12.32	9.37	1.53	0.54	-1.77	-2.4	3.9	11.46	3.81	0.01	9.04	4.38
1937	-1.82	-0.98	-1.54	2.58	8.98	11.75	13.42	12.59	8.72	5.67	0.01	-4.7	-1.52	3.34	12.58	4.8	-0.67	9.67	4.56
1938	-3.3	-3.42	2.49	0.31	5.79	12.34	12.26	12.1	9.74	5.45	3.13	-4.13	-3.81	2.86	12.23	6.11	-0.54	8.76	4.4
1939	-2.09	-1.54	-3.45	4.5	4.58	11.11	11.85	12.52	8.76	3.66	2.32	-3.95	-2.59	1.88	11.83	4.91	-0.44	8.89	4.02
1940	-6.88	-2.71	-0.3	3.15	7.15	10.22	11.38	11.18	9.6	4.77	0.91	-7.17	-4.51	3.33	10.93	5.09	-1.31	8.78	3.44
1941	-5.57	-3.07	0.21	1.69	4.07	11.36	13.9	11.04	9	3.66	-0.37	-3.46	-5.27	1.99	12.1	4.1	-1.65	8.51	3.54
1942	-8.24	-6.67	1.62	3.76	7.66	11.49	12.67	12.87	11.45	7.67	-1.01	-1.78	-6.12	4.35	12.34	6.04	-2.24	9.98	4.29
1943	-3.21	-1.68	1.89	4.64	8.89	10.06	13.17	14.39	10.65	7.35	-0.97	-2.21	-2.22	5.14	12.54	5.68	0.32	10.3	5.25
1944	-1.89	-6.01	-3.45	4.82	7.65	9.9	12.67	15.83	8.99	3.66	-0.52	-4.43	-3.37	3.01	12.8	4.04	-1.2	9.98	3.93
1945	-8.81	0.01	1.32	5.08	9.56	13.08	14.53	11.99	10.19	5.17	-0.63	-2.76	-4.41	5.32	13.2	4.91	-1.46	10.74	4.89
1946	-4.76	-1.31	1.2	6.21	8.51	10.01	13.83	12.29	10.7	4.43	0.38	-4.75	-2.94	5.31	12.05	5.17	-0.52	10.26	4.73
1947	-6.44	-4.6	0.99	6.25	9.94	13.24	15.14	15.14	11.96	6.31	2.38	-3.07	-5.26	5.72	14.51	6.88	-1.67	11.95	5.6
1948	-0.77	-2.56	3.58	4.25	8.98	10.11	10.44	12.43	9.77	6.3	2.45	-1.83	-2.13	5.6	10.99	6.18	0.98	9.33	5.26
1949	-2.41	-1.91	-1.89	6.59	6.61	10.99	14.47	13.47	12.66	7.55	-0.33	-0.85	-2.05	3.77	12.98	6.63	0.12	10.8	5.41
1950	-3.48	-0.79	1.11	1.81	9.16	13.67	15.46	13.25	9.21	5.31	0.52	-5.08	-1.7	4.03	14.13	5.01	0.54	10.43	5.01
1951	-2.45	-2.52	-1.34	2.9	6.88	10.73	13.29	12.47	10.86	4.95	2.04	-1.36	-3.35	2.81	12.16	5.95	-0.93	9.52	4.7
1952	-4.79	-4.93	0.94	5.36	8.35	12.58	15.92	13.66	6.47	4.2	-1.51	-3.34	-3.69	4.88	14.05	3.05	-0.53	10.39	4.41
1953	-5.92	-4.36	0.72	4.55	8.96	9.72	13.26	12.83	10.7	6.79	1.71	-0.32	-4.54	4.74	11.94	6.4	-1.7	10	4.89
1954	-6.05	-4.22	1.02	1.77	6.65	11.19	10.56	11.04	9.9	5.65	1.51	-0.83	-3.53	3.15	10.93	5.69	-0.18	8.52	4.02
1955	-1.93	-3.75	-1.95	3.25	6.53	10.75	12.62	11.63	8.96	3.99	-0.08	0.08	-2.17	2.61	11.67	4.29	-0.22	8.96	4.17
1956	-2.08	-11.93	-0.65	1.49	7.87	8.49	12.43	10.92	10.85	3.72	-1.44	-2.65	-4.65	2.9	10.61	4.37	-1.78	8.67	3.08
1957	-3.91	-0.15	3.77	3.56	4.89	11.5	12.73	11.38	8.76	5.83	1.57	-2.58	-2.24	4.07	11.87	5.39	-0.11	8.8	4.78
1958	-3.69	-0.48	-3.32	0.72	9.8	10.22	13.19	13.38	11.55	4.75	0.88	-1.27	-2.25	2.4	12.26	5.73	-0.45	9.81	4.64
1959	-3.68	-0.97	2.61	4.33	8.12	11.2	14.66	12.24	11.14	5.17	-0.27	-1.38	-1.98	5.02	12.7	5.35	0.39	10.28	5.26
1960	-3.89	-1.59	1.21	3.18	8.82	11.93	10.78	11.69	7.91	4.2	1.6	-3.03	-2.29	4.4	11.47	4.57	-0.13	9.05	4.4
1961	-3.13	0.78	1.78	6.1	6.18	11.65	11.58	12.25	13.29	6.43	0.66	-1.39	-1.8	4.68	11.83	6.79	0.36	10.17	5.51
1962	-2.39	-3.74	-3.48	2.79	5.58	10.03	12.11	14.21	9.62	6.12	-1.23	-5.4	-2.5	1.63	12.12	4.84	-0.65	9.06	3.69
1963	-8.58	-7.22	-0.93	4.13	6.71	10.65	13.85	11.28	9.95	5.74	3.01	-4.27	-7.06	3.3	11.92	6.23	-2.87	9.43	3.69
1964	-3.81	-1.46	-0.8	4.46	9.2	12.32	14.55	12.02	10.34	3.41	1.98	-3.25	-3.18	4.29	12.96	5.24	-0.26	10.48	4.91
1965	-2.97	-6.96	-0.63	1.69	6.66	11.39	11.35	11.26	7.62	6.34	-0.19	-1.54	-4.4	2.57	11.33	4.59	-1.4	8.33	3.67
1966	-5.18	1.48	-1.48	4.67	7.9	11.84	11.05	11.04	11.18	7.55	-1.96	-2.62	-1.75	3.7	11.31	5.59	-0.09	9.61	4.62
1967	-3.68	-1.75	0.8	2.1	7.08	9.86	14.66	12.51	9.15	7.92	1.91	-4.25	-2.68	3.33	12.34	6.33	-0.28	9.23	4.69
1968	-4.53	-2.04	0.03	4.49	6.64	10.72	12.32	10.69	8.59	7.66	1.21	-3.86	-3.61	3.72	11.24	5.82	-0.16	8.91	4.33
1969	-2.46	-5.65	-0.38	2.61	8.63	8.87	13.74	11.48	10.53	7.32	0.64	-6.59	-3.99	3.62	11.36	6.16	-0.58	9.31	4.06
1970	-2.85	-3.87	-3.11	0.66	6.06	11.98	12.51	12.61	10.81	5.18	2.36	-3.64	-4.44	1.2	12.37	6.12	-1.41	9.1	4.06
1971	-3.96	-3.29	-4.04	5.5	8.88	9.2	14.29	13.97	9.01	6.84	-0.52	-0.59	-3.63	3.44	12.49	5.11	-1.23	10.14	4.61
1972	-3.27	-0.51	1.86	2.49	6.44	9.58	12.25	11.67	6.55	4.42	1.07	-1.85	-1.46	3.6	11.17	4.01	0.64	8.16	4.22
1973	-2.98	-4.39	-1.33	0.04	8.46	11.51	12.13	14.27	10.68	4.47	0.63	-2.85	-3.07	2.39	12.64	5.26	-0.84	9.52	4.22
1974	-0.31	-1.24	1.74	3.13	6.48	9.26	12.2	13.59	8.94	-0.27	0.28	-0.36	-1.47	3.78	11.68	2.98	0.41	8.93	4.45
1975	-0.08	-1.61	-1.28	2.7	7.39	9.4	13.08	12.94	11.49	4.53	0.37	-2.29	-0.68	2.94	11.81	5.46	-0.55	9.5	4.72
1976	-2.73	-1.3	-0.8	3	8.46	13.08	13.73	11.04	7.92	6.58	0.13	-4.3	-2.11	3.55	12.61	4.88	-0.37	9.54	4.57
1977	-2.93	-0.34	2.68	1.77	6.72	10.13	12.26	10.96	8.48	7.17	0.34	-1.1	-2.52	3.73	11.12	5.33	0.31	8.39	4.68
1978	-3.28	-3.33	0.36	1.92	5.95	9.59	11.76	11.25	9.36	5.5	1.04	-1.1	-2.57	2.75	10.87	5.3	0.03	8.3	4.08
1979	-5.81	-1.88	0.3	1.12	7.09	11.44	12.58	11.24	9.92	6.95	0.14	-0.45	-2.93	2.84	11.75	5.67	-0.32	8.9	4.39
1980	-4.51	-0.76	0	0.69	5.86	9.05	10.68	13.4	10.94	4.65	0.05	-3.9	-1.91	2.18	11.04	5.21	0.23	8.44	3.84
1981	-5.06	-4.44	2.61	5.02	7.27	11.17	11.74	13.33	10.15	5.12	0.48	-3.61	-4.47	4.97	12.08	5.25	-1.02	9.78	4.48
1982	-1.82	-2.39	-1	2.46	8.01	11.92	14.84	12.39	11.87	5.34	2.3	-1.25	-2.61	3.16	13.05	6.5	-0.54	10.25	5.22
1983	-0.63	-5.04	1.04	3.7	5.7	11.83	17.35	13.34	10.75	6.31	1.38	-1.65	-2.31	3.48	14.17	6.14	0.29	10.44	5.34
1984	-3.32	-4.75	-2.3	2.17	4.92	10.27	13.27	12.38	8.23	6.48	3.38	-1.32	-3.24	1.6	11.97	6.03	-0.72	8.54	4.12
1985	-8.05	-2.76	-1.6	3.29	7.46	9.45	14.71	12.9	11.83	7.09	-2.22	0.22	-4.04	3.05	12.35	5.56	-0.65	9.94	4.36
1986	-3.64	-7.49	-0.15	1.62	9.61	11.41	13.1	12.77	10.5	7.4	2.08	-1.86	-3.63	3.69	12.42	6.66	-1.03	9.84	4.61
1987	-6.03	-2.26	-3.22	4.46	5.11	9.5	13.56	13.1	12.95	7.29	1.46	0.32	-3.38	2.12	12.06	7.23	-0.65	9.78	4.69
1988	-0.32	-2.74	-1.43	4.57	9.06	10.58	13.66	13.78	10	7.67	0.21	-0.87	-0.91	4.07	12.67	5.96	0.76	10.28	5.35
1989	-0.66	0.1	3.31	2.54	9.21	10.43	14.08	13.34	9.98	7.06	0.6	0.17	-0.48	5.02	12.61	5.88	1.63	9.93	5.85
1990	-1.67	2.1	2.76	2.52	9.79	10.68	14.06	14.3	9.4	7.84	0.4	-3.79	0.2	5.02	13.01	5.88	1.84	10.12	5.7
1991	-2.03	-4.57	3.08	2.38	4.83	10.15	15.24	15.31	12.28	5.04	0.74	-2.71	-3.46	3.43	13.57	6.02	0.15	10.03	4.98
1992	-2.46	-1.44	1.33	3.65	10.05	10.81	14.38	16.19	10.35	3.94	3.24	-1.35	-2.2	5.01	13.79	5.85	0.08	10.9	5.72
1993	-0.04	-2.68	-0.13	5.04	9.56	12.09	12.41	13.83	8.84	4.77	-1.04	-0.5	-1.36	4.82	12.78	4.19	0.5	10.29	5.18
1994	-1.44	-1.94	4.33	2.43	8.72	12.17	16.56	15	9.73	6.18	4.74	0.11	-1.29	5.16	14.58	6.88	0.7	10.77	6.38
1995	-3.8	0.64	-1.15	4.28	8.05	9.86	16.09	13	7.63	9.4	0.68	-2.32	-1.02	3.73	12.98	5.9	1.12	9.82	5.2
1996	-1.27	-4.32	-1.1	4.62	8.01	12.67	12.83	12.4	7.08	5.83	0.96	-2.22	-2.64	3.84	12.63	4.62	0.18	9.6	4.62
1997	-2.26	0.4	3.08	3.09	8.8	11.13	12.23	14.97	11.98	6.04	1.76	-1.06	-1.36	4.99	12.78	6.59	0.96	10.37	5.85
1998	-1.66	1.01	0.95	3.38	9.5	12.56	14.22	14.39	9.44	5.63	-1.84	-2.05	-0.57	4.61	13.72	4.41	1.17	10.58	5.46
1999	-1.46	-4.18	1.36	3.7	10.37	10.8	14.32	13.77	12.23	6.46	-0.77	-2.12	-2.56	5.14	12.96	5.97	-0.42	10.86	5.37
2000	-3.4	-0.41	1.29	4.96	10.2	13.41	11.57	14.68	11.09	6.56	1.48	0.47	-1.98	5.48	13.22	6.38	0.18	10.98	5.99
2001	-2.06	-1.01	2.77	2.23	10.54	10.78	14.11	15.01	7.17	9.63	0.12	-3.81	-0.87	5.18	13.3	5.64	1.37	9.97	5.46
2002	-1.91	0.95	2.49	4.23	8.08	14.44	13.62	13.03	8.83	6.33	2.65	0.15	-1.59	4.94	13.7	5.94	1.25	10.37	6.08
2003	-3.79	-5.02	2.79	4.38	10.02	17.34	15.39	17.89	10.55	3.47	2.9	-1.1	-2.89	5.73	16.87	5.64	0.52	12.6	6.24
2004	-3	-1.66	-0.04	4.32	7.22	12	13.57	14.04	11.16	7.98	0.85	-1.69	-1.92	3.83	13.2	6.66	0.1	10.38	5.4
2005	-3.44	-5.88	0.67	4.44	9.14	13.75	13.95	11.98	11.27	7.91	0.4	-4.3	-3.67	4.75	13.23	6.52	-0.25	10.75	4.99
2006	-4.43	-3.38	-1.1	4.17	8.57	13.27	17.68	10.47	13.15	9.27	3.71	0.03	-4.04	3.88	13.81	8.71	-0.82	11.22	5.95
2007	0.39	0.96	1.31	8.96	9.71	12.67	13.42	12.9	8.93	5.98	-0.08	-2.28	0.46	6.66	13	4.94	2.61	11.1	6.07
2008	-0.18	0.31	-0.11	3.18	10.09	12.85	13.75	13.73	8.81	6.59	0.95	-2.5	-0.72	4.39	13.45	5.45	0.61	10.4	5.62
2009	-4.44	-3.42	0.01	6.31	10.83	11.98	14.38	15.72	11.72	6.07	3.39	-2.87	-3.45	5.72	14.03	7.06	-0.47	11.82	5.81
2010	-5.16	-3.33	-0.12	5.12	7.07	12.33	15.85	12.89	9.33	5.49	1.04	-4.28	-3.79	4.02	13.69	5.29	-0.34	10.43	4.69
2011	-2.42	-0.51	2.31	7.61	10.58	12.32	12.07	15.2	12.64	6.52	3.68	-0.52	-2.41	6.84	13.2	7.61	0.27	11.74	6.62
2012	-1.82	-6.48	3.72	4.07	9.41	13.29	13.97	15.55	10.66	6.84	2.73	-2.18	-2.94	5.73	14.27	6.74	0.85	11.16	5.81
2013	-2.68	-5.33	-0.77	4.87	6.23	11.5	15.99	14.42	10.96	7.95	0.52	-0.42	-3.4	3.44	13.97	6.48	-0.23	10.66	5.27
2014	-0.64	-0.45	2.75	6.08	7.67	13.12	13.31	12.07	11.16	8.75	4.31	-0.36	-0.5	5.5	12.83	8.07	1.62	10.57	6.48
2015	-1.66	-3.25	1.98	5.28	9.24	13.56	17.73	15.54	9.03	5.85	4.18	2.24	-1.76	5.5	15.61	6.35	1.63	11.73	6.64
2016	-1.12	-0.21	0.1	4.53	7.85	11.95	15.07	14.77	12.51	5.35	1.79	-0.13	0.3	4.16	13.93	6.55	1.84	11.11	6.04
2017	-5.16	0.44	4.07	4.38	9.78	15.16	15.02	15.43	8.62	7.75	0.85	-2.46	-1.62	6.08	15.2	5.74	1.06	11.4	6.16
2018	0.46	-5.24	-0.25	7.77	NA	NA	NA	NA	NA	NA	NA	NA	-2.41	NA	NA	NA	0.19	NA	NA
